Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2014,HOU,2229,5447,6055,1317,895,240,19,163,629,596,495,27,1442,55,36,22,122,122,37,0.242
2014,NYM,2294,5472,6145,1306,887,275,19,125,629,602,516,42,1264,54,44,59,112,101,34,0.239
2014,STL,2324,5426,6086,1371,970,275,21,105,619,585,471,28,1133,86,39,64,140,57,32,0.253
2014,PHI,2282,5603,6198,1356,953,251,27,125,619,584,443,42,1306,55,37,59,95,109,26,0.242
2014,ARI,2274,5552,6089,1379,955,259,47,118,615,573,398,31,1165,43,36,56,115,86,33,0.248
2014,CHC,2358,5508,6102,1315,857,270,31,157,614,590,442,29,1477,54,41,57,94,65,40,0.239
2014,TBR,2352,5516,6205,1361,957,263,24,117,612,586,527,31,1124,66,53,43,135,63,27,0.247
2014,CIN,2213,5395,5978,1282,877,254,20,131,595,562,415,22,1252,52,37,76,88,122,52,0.238
2014,ATL,2252,5468,6064,1316,931,240,22,123,573,545,472,31,1369,43,27,53,121,95,33,0.241
2014,SDP,2362,5294,5905,1199,836,224,30,109,535,500,468,27,1294,41,45,56,118,91,34,0.226
2015,TOR,2337,5509,6231,1480,923,308,17,232,891,852,570,12,1151,54,62,36,140,88,23,0.269
2015,NYY,2401,5567,6268,1397,894,272,19,212,764,737,554,23,1227,63,54,24,105,63,25,0.251
2015,TEX,2358,5511,6187,1419,936,279,32,172,751,707,503,32,1233,76,54,43,99,101,39,0.257
2015,BOS,2268,5640,6237,1495,1007,294,33,161,748,706,478,28,1148,46,42,30,127,71,27,0.265
2015,COL,2436,5572,6071,1479,970,274,49,186,737,702,388,47,1283,33,34,44,114,97,43,0.265
2015,HOU,2333,5459,6073,1363,829,278,26,230,729,691,486,22,1392,56,43,28,102,121,48,0.25
2015,KCR,2263,5575,6116,1497,1016,300,42,139,724,689,383,28,973,77,47,34,133,104,34,0.269
2015,ARI,2393,5649,6276,1494,1003,289,48,154,720,680,490,40,1312,33,57,46,134,132,44,0.264
2015,BAL,2249,5485,6007,1370,887,246,20,217,713,686,418,23,1331,51,32,20,127,44,25,0.25
2015,WSN,2245,5428,6117,1363,908,265,13,177,703,665,539,38,1344,44,51,55,129,57,23,0.251
2015,PIT,2431,5631,6285,1462,1003,292,27,140,697,661,461,46,1322,89,41,63,115,98,45,0.26
2015,SFG,2342,5565,6153,1486,1023,288,39,136,696,663,457,30,1159,49,37,45,142,93,36,0.267
2015,MIN,2311,5467,6017,1349,872,277,44,156,696,661,439,31,1264,40,41,30,133,70,38,0.247
2015,OAK,2349,5600,6171,1405,936,277,46,146,694,661,475,21,1119,40,38,14,124,78,29,0.251
2015,DET,2340,5605,6159,1515,1026,289,49,151,689,660,455,36,1259,41,35,23,152,83,51,0.27
2015,CHC,2406,5491,6200,1341,868,272,30,171,689,657,567,47,1518,74,35,32,102,95,37,0.244
2015,NYM,2325,5527,6145,1351,862,295,17,177,683,654,488,42,1290,68,32,29,130,51,25,0.244
2015,CLE,2285,5439,6109,1395,922,303,29,141,669,640,533,34,1157,39,50,47,134,86,28,0.256
2015,LAD,2379,5385,6090,1346,870,263,26,187,667,638,563,31,1258,60,30,49,135,59,34,0.25
2015,LAA,2459,5417,5990,1331,891,243,21,176,661,621,435,34,1150,58,40,37,116,52,34,0.246
2015,SEA,2407,5544,6131,1379,897,262,22,198,656,624,478,31,1336,36,35,38,123,69,45,0.249
2015,MIL,2377,5480,6024,1378,925,274,34,145,655,624,412,35,1299,41,34,55,130,84,29,0.251
2015,SDP,2396,5457,6019,1324,880,260,36,148,650,623,426,22,1327,40,42,52,108,82,29,0.243
2015,STL,2406,5484,6139,1386,922,288,39,137,647,619,506,47,1267,66,42,39,128,69,38,0.253
2015,TBR,2479,5485,6071,1383,906,278,32,167,644,612,436,22,1310,84,47,19,121,87,45,0.252
2015,CIN,2337,5571,6196,1382,931,257,27,167,640,613,496,38,1255,42,40,47,112,134,38,0.248
2015,PHI,2321,5529,6053,1374,935,272,37,130,626,586,387,20,1274,54,29,53,119,88,32,0.249
2015,CHW,2265,5533,6070,1381,958,260,27,136,622,595,404,22,1231,65,37,30,125,68,42,0.25
2015,MIA,2297,5463,5988,1420,1024,236,40,120,613,575,375,30,1150,39,40,71,133,112,45,0.26
2015,ATL,2340,5420,6034,1361,992,251,18,100,573,548,471,39,1107,44,31,67,148,69,33,0.251
